,step,avg_return,std_return
0,301000,-601365.1875,800286.1875
1,302000,-1201065.125,399892.375
2,303000,-1001625.0,774586.375
3,304000,-801603.6875,600105.0625
4,305000,-601414.125,800361.6875
5,306000,-901176.0,700113.1875
6,307000,-701656.375,899956.0
7,308000,-801055.625,979321.1875
8,309000,-901275.625,699870.5625
9,310000,-1001185.625,774263.125
10,311000,-701326.375,900134.8125
11,312000,-901905.625,698702.875
12,313000,-1101047.0,299651.9375
13,314000,-400945.40625,916790.1875
14,315000,-501315.1875,1025031.0
15,316000,-701136.0,899603.875
16,317000,-1001246.875,774341.25
17,318000,-1201216.25,399392.4375
18,319000,-201494.40625,979817.8125
19,320000,-500894.90625,1024989.3125
20,321000,-701165.6875,900103.0625
21,322000,-701116.6875,1186929.0
22,323000,-700585.625,900133.0
23,324000,-501364.40625,1024838.125
24,325000,-201324.203125,980108.375
25,326000,-401294.6875,1200167.75
26,327000,-401165.0,916605.1875
27,328000,298246.5,1100727.5
28,329000,-401011.5,916879.5625
29,330000,-701505.375,899660.625
30,331000,-600754.375,1113452.125
31,332000,-1001188.125,1094790.75
32,333000,-1000997.3125,774559.5625
33,334000,-1000986.375,774522.25
34,335000,-901545.875,699882.0
35,336000,-401265.5,916846.8125
36,337000,-401295.40625,916604.625
37,338000,-501514.90625,1025166.6875
38,339000,-801725.0,600544.5625
39,340000,-900836.1875,699779.0625
40,341000,-702083.875,900164.875
41,342000,-101034.203125,1136334.625
42,343000,-901496.6875,699816.25
43,344000,-901377.5,699570.3125
44,345000,-201715.5,980487.8125
45,346000,-901966.6875,700669.25
46,347000,-701525.0,900225.75
47,348000,-701036.375,899770.6875
48,349000,-1101155.25,300614.1875
49,350000,-400843.90625,917029.4375
50,351000,-1001265.375,914.0176391601562
51,352000,-501186.8125,1024244.625
52,353000,-801164.3125,599957.3125
53,354000,-201805.40625,979152.875
54,355000,-601595.8125,800177.9375
55,356000,-601145.8125,800253.0
56,357000,-501094.8125,1024551.0
57,358000,-301494.6875,1099864.25
58,359000,-401464.8125,916235.8125
59,360000,-801756.1875,600488.3125
60,361000,-901466.3125,700583.0
61,362000,-700955.375,899988.3125
62,363000,-401285.8125,916401.0625
63,364000,-901216.5,699548.375
64,365000,-701245.875,900063.0625
65,366000,-501264.6875,1024516.875
66,367000,-901565.625,700169.1875
67,368000,-401146.09375,916288.75
68,369000,-201014.5,979834.0625
69,370000,-801486.625,599766.875
70,371000,-901707.3125,700162.375
71,372000,-401344.3125,916898.3125
72,373000,-901496.125,700074.0
73,374000,-1001765.625,1563.1953125
74,375000,-601305.875,799756.875
75,376000,-501475.90625,1025010.6875
76,377000,-701686.125,899854.75
77,378000,-1101557.125,299482.5
78,379000,-801437.1875,979569.625
