,step,avg_return,std_return
0,101000,-1001497.125,493.7650146484375
1,102000,-1200836.75,399582.375
2,103000,-1001187.6875,538.2345581054688
3,104000,-1001225.5,140.6984405517578
4,105000,-1001356.625,408.10589599609375
5,106000,-1101286.5,299571.875
6,107000,-1001106.8125,866.400390625
7,108000,-1001573.5,1055.442138671875
8,109000,-1101205.75,299598.125
9,110000,-1201266.125,399367.3125
10,111000,-1100936.75,299688.0
11,112000,-1001134.625,749.5447998046875
12,113000,-1101297.25,299568.46875
13,114000,-1001074.8125,303.7689514160156
14,115000,-1001636.625,687.1652221679688
15,116000,-1001405.875,543.7893676757812
16,117000,-1101156.625,299614.53125
17,118000,-1001366.875,510.13299560546875
18,119000,-1101067.25,299644.28125
19,120000,-1001446.625,354.8563537597656
20,121000,-1001406.125,661.6970825195312
21,122000,-1001076.8125,406.76177978515625
22,123000,-1001276.375,187.0321807861328
23,124000,-1001068.1875,408.4565734863281
24,125000,-1000898.5,500.4404602050781
25,126000,-1001735.1875,895.0153198242188
26,127000,-1000946.0,581.2787475585938
27,128000,-1001095.3125,560.8441772460938
28,129000,-1000936.875,755.2015991210938
29,130000,-1000674.875,673.682373046875
30,131000,-1001125.875,999.9149169921875
31,132000,-1001207.125,612.7474975585938
32,133000,-601447.0,1198817.375
33,134000,-1001364.875,721.885986328125
34,135000,-801306.125,600071.0625
35,136000,-1001236.5,666.0816650390625
36,137000,-1000967.0,506.3615417480469
37,138000,-1000855.125,533.024658203125
38,139000,-1000534.6875,594.19677734375
39,140000,-801195.6875,600000.375
40,141000,-1000665.1875,732.8558959960938
41,142000,-1001427.3125,1902.504638671875
42,143000,-901065.6875,700154.6875
43,144000,-1000963.0,577.3799438476562
44,145000,-1001107.125,412.9170227050781
45,146000,-800826.375,600277.9375
46,147000,-1000856.375,711.2206420898438
47,148000,-800806.3125,600337.0
48,149000,-1000956.5,974.3829956054688
49,150000,-1001056.0,829.29052734375
50,151000,-1200817.125,399591.53125
51,152000,-1101176.75,299607.90625
52,153000,-1101256.375,299582.09375
53,154000,-900927.5,699934.5
54,155000,-600717.0,799960.75
55,156000,-1000745.3125,502.73052978515625
56,157000,-1200937.25,399756.59375
57,158000,-800756.0,600254.875
58,159000,-1000746.6875,829.8914184570312
59,160000,-1200747.75,399626.6875
60,161000,-801455.625,600155.1875
61,162000,-1101156.25,299615.03125
62,163000,-500876.09375,1024892.9375
63,164000,-800926.3125,599945.75
64,165000,-1001046.0,981.1338500976562
65,166000,-1000736.3125,551.2181396484375
66,167000,-801566.375,599223.25
67,168000,-600555.0,800006.4375
68,169000,-1001165.3125,535.5390014648438
69,170000,-801115.0,600308.0
70,171000,-1000227.125,536.2791137695312
71,172000,-901276.375,700184.3125
72,173000,-1001304.6875,557.7924194335938
73,174000,-901684.5,699856.1875
74,175000,-801063.5,600022.9375
75,176000,-1100896.875,300033.3125
76,177000,-1100547.375,299817.90625
77,178000,-1001235.5,337.99798583984375
78,179000,-1200856.5,399570.21875
79,180000,-801275.6875,600093.8125
80,181000,-1001325.3125,895.3602905273438
81,182000,-1001186.875,802.285400390625
82,183000,-800926.125,599978.625
83,184000,-801364.375,600123.4375
84,185000,-901104.625,699902.6875
85,186000,-1001215.6875,263.16461181640625
86,187000,-1101055.75,299648.3125
87,188000,-1001378.125,399.2383728027344
88,189000,-1001336.1875,742.3140869140625
89,190000,-1001555.8125,505.2084045410156
90,191000,-1001235.5,231.9207763671875
91,192000,-1001125.0,641.4725341796875
92,193000,-1300716.5,457788.6875
93,194000,-1101195.375,299600.3125
94,195000,-1001374.3125,798.4464111328125
95,196000,-1001395.125,488.05950927734375
96,197000,-1101327.25,299558.125
97,198000,-1001963.0,950.7932739257812
98,199000,-1001238.125,574.470458984375
99,200000,-901306.625,699617.3125
