,step,avg_return,std_return
0,201000,-1001514.6875,922.0929565429688
1,202000,-1200926.75,399537.15625
2,203000,-801545.875,600551.5625
3,204000,-1001685.625,774366.9375
4,205000,-1100776.25,299741.8125
5,206000,-1002196.8125,1354.7647705078125
6,207000,-1001215.125,510.236083984375
7,208000,-1001195.1875,717.796142578125
8,209000,-1101476.625,300174.5
9,210000,-1001005.8125,542.76806640625
10,211000,-1101434.75,299523.3125
11,212000,-1001176.0,147.2698211669922
12,213000,-1001285.625,614.27734375
13,214000,-1000915.0,362.38433837890625
14,215000,-1001555.3125,816.6331176757812
15,216000,-1101287.375,299571.25
16,217000,-1001465.375,806.2298583984375
17,218000,-901403.1875,700288.5625
18,219000,-1001354.1875,249.25682067871094
19,220000,-1001234.1875,986.375244140625
20,221000,-801145.625,600385.75
21,222000,-1001217.375,570.7767333984375
22,223000,-1001745.0,1119.9326171875
23,224000,-1001686.1875,633.6790771484375
24,225000,-1001096.5,288.4909973144531
25,226000,-1000676.0,536.4026489257812
26,227000,-1101107.5,299929.5
27,228000,-1000686.125,615.1693115234375
28,229000,-801285.625,600031.3125
29,230000,-1201036.25,399706.40625
30,231000,-801064.8125,600290.625
31,232000,-1001264.625,519.1867065429688
32,233000,-800947.3125,599350.3125
33,234000,-1001054.625,774521.5
34,235000,-1001366.875,673.4805908203125
35,236000,-601204.375,800505.8125
36,237000,-1000922.8125,475.57501220703125
37,238000,-1301047.125,457574.3125
38,239000,-1001137.3125,544.5228881835938
39,240000,-1000755.8125,572.1121826171875
40,241000,-601017.0,799612.125
41,242000,-801393.375,600034.0
42,243000,-1001085.0,586.2525024414062
43,244000,-801085.875,599999.375
44,245000,-601595.6875,799676.9375
45,246000,-1101605.0,300665.59375
46,247000,-801326.5,600079.8125
47,248000,-801136.375,599981.6875
48,249000,-1001066.875,650.028076171875
49,250000,-701077.3125,899539.5
50,251000,-801196.1875,600334.8125
51,252000,-1101046.75,299651.9375
52,253000,-1001693.3125,855.573974609375
53,254000,-801286.625,599997.625
54,255000,-1001605.5,787.3997802734375
55,256000,-801953.375,599785.0625
56,257000,-601455.125,800081.1875
57,258000,-1000806.5,774574.5
58,259000,-1201086.75,399458.03125
59,260000,-801645.375,600151.75
60,261000,-801404.6875,600037.8125
61,262000,-1001944.0,1037.319091796875
62,263000,-901265.625,700126.6875
63,264000,-1101126.625,299624.53125
64,265000,-801894.5,600602.5625
65,266000,-1201274.0,399913.40625
66,267000,-601455.625,800331.5625
67,268000,-1101776.25,299410.375
68,269000,-601974.625,800366.375
69,270000,-900635.625,699779.625
70,271000,-801365.375,599823.25
71,272000,-1001526.1875,774263.0
72,273000,-601603.6875,800130.75
73,274000,-801415.6875,600442.5625
74,275000,-1001496.3125,597.5336303710938
75,276000,-601275.1875,800241.875
76,277000,-501022.6875,1024868.75
77,278000,-1193.9000244140625,1265434.25
78,279000,-801366.375,600091.375
79,280000,-200922.90625,980005.875
80,281000,-500824.59375,1025004.5
81,282000,-1001235.1875,439.3731384277344
82,283000,-1201105.375,399447.59375
83,284000,-401025.1875,916799.0625
84,285000,-701005.6875,899983.125
85,286000,-801216.0,599974.375
86,287000,-901115.1875,700075.875
87,288000,-701216.625,899585.8125
88,289000,-801366.0,980017.5625
89,290000,-401843.90625,916943.0
90,291000,-701665.0,900249.375
91,292000,-800705.375,979862.125
92,293000,-501265.09375,1025064.75
93,294000,-601855.125,800282.0
94,295000,-1101206.25,299599.15625
95,296000,-1101598.0,299469.78125
96,297000,-501436.5,1024247.4375
97,298000,-601184.0,799744.75
98,299000,-1101325.375,299559.8125
99,300000,-601504.3125,800131.25
