,step,avg_return,std_return
0,1000,799093.0,600995.125
1,2000,198683.296875,1248156.5
2,3000,499651.6875,1024915.3125
3,4000,499152.59375,1024281.3125
4,5000,699891.3125,899963.8125
5,6000,699001.375,899667.6875
6,7000,699470.6875,899823.875
7,8000,199622.09375,1249077.0
8,9000,199040.5,1248689.75
9,10000,399582.09375,1199791.25
10,11000,499870.90625,1024670.9375
11,12000,599370.8125,800185.25
12,13000,998671.125,1132.319091796875
13,14000,599151.3125,800050.3125
14,15000,99161.703125,1374224.25
15,16000,-100587.8984375,1374664.75
16,17000,998611.0,1239.7176513671875
17,18000,-400998.8125,1199717.125
18,19000,798921.6875,600373.0
19,20000,-201188.5,1249186.25
20,21000,298932.0,1100302.0
21,22000,99152.8984375,1135531.625
22,23000,398512.1875,917395.4375
23,24000,999202.625,773.6173706054688
24,25000,99242.703125,1135656.125
25,26000,-102166.203125,1136323.875
26,27000,599343.5,800268.875
27,28000,999203.6875,765.5895385742188
28,29000,199111.796875,1248990.875
29,30000,199095.09375,1248595.75
30,31000,399323.40625,916157.5625
31,32000,99163.203125,1135839.25
32,33000,-100697.296875,1135509.0
33,34000,399411.90625,1199706.125
34,35000,-558.0999755859375,1264626.625
35,36000,499422.1875,1024842.1875
36,37000,699492.875,899831.1875
37,38000,-300658.09375,1345335.375
38,39000,599095.5,800519.6875
39,40000,799501.8125,600333.875
40,41000,98894.1015625,1136136.0
41,42000,599182.875,800389.125
42,43000,598903.0,800573.625
43,44000,-101376.203125,1136171.5
44,45000,99082.703125,1136003.125
45,46000,298492.6875,1100422.125
46,47000,799241.6875,600279.8125
47,48000,298862.3125,1099875.75
48,49000,498953.90625,1024183.5625
49,50000,299042.40625,1099935.875
