,step,avg_return,std_return
0,51000,999421.5,773.2535400390625
1,52000,798213.875,599840.125
2,53000,-101357.0,1136103.0
3,54000,798753.625,600049.0
4,55000,398763.40625,916553.875
5,56000,798981.625,600127.75
6,57000,598962.375,800355.1875
7,58000,598892.125,800694.6875
8,59000,-301148.59375,1345760.75
9,60000,499302.90625,1024803.125
10,61000,799551.125,600450.5
11,62000,198093.0,980257.5625
12,63000,799144.0,599678.1875
13,64000,598792.875,800570.1875
14,65000,799143.125,599981.0
15,66000,299281.6875,1100816.0
16,67000,799402.5,600199.0
17,68000,698972.625,899656.0
18,69000,399662.6875,916510.9375
19,70000,98904.3984375,1136530.625
20,71000,799463.6875,600252.4375
21,72000,499203.5,1024833.25
22,73000,599673.5,800060.6875
23,74000,999323.125,829.4849853515625
24,75000,798872.125,600989.0625
25,76000,799433.875,600609.125
26,77000,598833.5,1113143.25
27,78000,598793.3125,800796.0
28,79000,798902.0,600399.875
29,80000,99092.5,1135659.375
30,81000,299782.3125,1100151.375
31,82000,398904.3125,916887.75
32,83000,398832.6875,916338.625
33,84000,799361.3125,600320.875
34,85000,799521.875,600505.75
35,86000,598962.3125,800554.125
36,87000,99363.1015625,1136049.625
37,88000,699042.875,901846.75
38,89000,1099243.625,299955.5625
39,90000,-101207.796875,1136284.25
40,91000,998762.6875,923.882080078125
41,92000,-201457.796875,1248767.5
42,93000,398714.5,916741.4375
43,94000,799072.375,600190.375
44,95000,-1056.300048828125,1000260.25
45,96000,999132.3125,830.3150634765625
46,97000,99192.8984375,1135968.875
47,98000,699362.125,900519.875
48,99000,399413.5,916564.9375
49,100000,798942.8125,600081.625
